"GM_CODE","GM_NAAM","POSTCODE","DEK_PERC","OAD","STED","AANT_INW","AANT_MAN","AANT_VROUW","P_00_14_JR","P_15_24_JR","P_25_44_JR","P_45_64_JR","P_65_EO_JR","P_ONGEHUWD","P_GEHUWD","P_GESCHEID","P_VERWEDUW","BEV_DICHTH","AANTAL_HH","P_EENP_HH","P_HH_Z_K","P_HH_M_K","GEM_HH_GR","P_WEST_AL","P_N_W_AL","P_MAROKKO","P_ANT_ARU","P_SURINAM","P_TURKIJE","P_OVER_NW","WONINGEN","P_WONT2000","P_WONV2000","WOZ","P_KOOPWON","P_HUURWON","P_HUURCORP","P_HUUROVVH","P_HUKO_ONB","P_GAS_TOT","P_GAS_APP","P_GAS_TUS","P_GAS_HOEK","P_GAS_21K","P_GAS_VRY","P_GAS_ONB","P_STADVERW","P_ELEK_TOT","P_ELEK_APP","P_ELEK_TUS","P_ELEK_HOE","P_ELEK_21K","P_ELEK_VRY","P_ELEK_ONB","WWB_UITTOT","P_WWB_UIT","WWB_UITMUT","AGRA_BEDR","AGRA_MUT","P_GEWASSEN","P_VEETEELT","P_COMBI","AUTO_TOT","AUTO_HH","AUTO_LAND","BEDR_AUTO","MOTOR_2W","AF_ARTSPR","AV3_ARTSPR","AF_ZIEK_E","AV20ZIEK_E","AF_OPRITH","AF_KDV","AV3_KDV","AF_ONDVMB","AV5_ONDVMB","AF_ONDHV","AV5_ONDHV","AF_SUPERM","AV3_SUPERM","AF_RESTAU","AV3_RESTAU","AF_ZWEMB","AF_BIOS","AV10BIOS","AF_TREINST","OPP_TOT","OPP_LAND","OPP_WATER"
"GM0281","Tiel",-99999999,-99999999,1244,3,41190,20470,20720,19,12,28,27,13,45,43,7,5,1276,17210,31,29,40,2.4,8,14,5,0,1,6,3,16855,89,11,231,54,46,38,7,0,1900,1250,1650,2000,2300,3250,1150,0,3450,2250,3400,3550,4200,4850,2850,720,47,13,80,-1,47,46,8,19140,1.1,593,3380,1465,1.1,4.1,2.4,1,1.7,1.4,6.6,2.2,1,2.1,1,0.8,6.1,0.9,19.1,3,2.3,1,1.5,3484,3229,255
"GM0282","Ubbergen",-99999999,-99999999,343,5,9335,4580,4750,17,9,22,32,20,42,45,6,7,276,4185,34,34,31,2.2,11,2,0,0,0,0,1,4065,91,9,281,64,36,29,7,0,2200,1550,1650,1950,2450,3500,-99999997,0,3550,2850,3000,3300,3950,4700,1700,100,26,13,60,0,36,61,3,4490,1.1,133,580,395,0.8,1.8,8.3,2,1.1,1.7,1.1,5.6,1.9,4.7,2.1,0.9,1.4,0.8,7,6.7,6.7,3.2,7.3,3880,3379,502
"GM0285","Voorst",-99999999,-99999999,542,4,23770,11860,11910,16,12,21,32,18,42,47,4,6,193,9360,25,36,38,2.4,5,2,0,0,0,1,1,9115,90,10,312,65,34,26,8,1,2350,1050,1750,1950,2300,3200,2450,0,3800,2100,3000,3250,4100,4650,4300,160,19,16,365,-2,14,80,6,11715,1.3,95,1865,1220,1.4,3,8.9,2.6,0.9,1.8,2.1,3.1,1.4,3.4,0.7,1.3,2.6,1,5.7,3.7,6.4,1.9,2.6,12652,12310,342
"GM0289","Wageningen",-99999999,-99999999,1551,2,37360,18190,19170,14,18,32,23,13,57,32,5,5,1227,21220,61,19,20,1.7,13,14,1,0,1,0,12,13270,91,9,262,51,48,39,8,1,1750,1300,1500,1850,2450,3750,1400,6,2950,2250,3000,3150,3650,4450,2600,550,28,5,30,-3,22,66,12,12390,0.6,407,1105,845,0.8,6.2,6.4,1.7,1.2,0.6,12.5,1.7,2.5,1.8,1,0.7,6.3,0.8,27.6,1.9,1.6,2.1,6.5,3235,3045,190
"GM0293","Westervoort",-99999999,-99999999,1112,3,15235,7565,7675,17,14,23,34,12,42,45,8,4,2148,6300,26,31,43,2.4,9,7,1,0,1,1,3,6360,94,6,208,56,44,34,10,0,1150,450,900,1200,1500,2500,-99999997,42,3500,2050,3350,3550,4100,4600,-99999997,260,43,24,10,-99999997,-99999997,-99999997,-99999997,6800,1.1,959,640,740,1,3,5.6,3.1,2.7,1.4,3,3.1,2.1,3.1,1.8,0.6,4.4,0.8,7.4,1.2,6.7,4,3.6,784,709,75
"GM0294","Winterswijk",-99999999,-99999999,1104,3,29050,14440,14610,18,11,24,29,18,43,45,5,7,210,12345,31,33,36,2.3,9,5,1,0,0,2,3,12250,90,10,217,67,31,20,12,1,2150,1250,1700,2000,2300,3150,2350,0,3550,2400,3150,3250,4000,4600,-99999997,390,35,12,345,3,17,78,5,13285,1.1,96,2045,1215,1.6,5.6,2.8,1,1.2,1.3,6.5,1.8,2.6,2,0.9,1.1,7.8,0.9,20.3,2.6,2,1,2.2,13880,13815,65
"GM0296","Wijchen",-99999999,-99999999,1056,3,40150,19845,20305,19,11,26,30,14,43,46,6,5,603,16340,27,31,42,2.4,7,4,1,0,1,1,2,16345,88,12,273,66,34,26,8,0,2000,1050,1600,1950,2400,3100,2550,0,3800,2550,3450,3700,4250,4900,4400,400,26,8,170,-1,32,61,7,19290,1.2,290,2735,1570,1.3,7.4,9.3,2.9,1.5,1.2,4.5,2.8,1.2,3.3,0.9,1.1,5.9,1.3,13.7,2.5,2.3,1.4,2.8,6958,6661,297
"GM0297","Zaltbommel",-99999999,-99999999,561,4,26430,13165,13260,22,12,26,27,14,44,46,5,5,331,10000,25,31,44,2.6,5,5,3,0,0,0,2,10115,89,11,287,66,34,25,9,0,2200,1200,1750,1950,2300,3000,2050,0,3800,2550,3300,3400,4000,4700,3650,220,25,25,290,-2,59,38,2,16755,1.7,210,4085,980,1.2,3.3,14.8,2.9,1.4,2.4,1.9,3.2,1.3,3.7,0.7,0.9,2.2,1.3,7.9,4.7,13.5,0.1,5.5,8906,7972,933
"GM0299","Zevenaar",-99999999,-99999999,1241,3,31905,15695,16210,16,10,25,31,18,41,47,7,6,598,13955,30,35,35,2.3,10,4,0,0,1,2,2,13760,91,9,227,57,43,31,13,0,1950,1100,1650,1900,2300,3050,2600,0,3500,2600,3200,3350,3950,4700,-99999997,390,31,15,110,3,24,70,6,15470,1.1,290,1705,1495,1.2,6.4,3.1,4,1.2,1.2,4.3,2.9,1.1,2.9,1.1,0.9,4.9,1,12.8,2.5,3,1.9,2.9,5802,5337,465
"GM0301","Zutphen",-99999999,-99999999,1480,3,46870,22790,24080,19,11,26,29,15,46,40,8,5,1145,20775,35,30,35,2.2,9,7,1,0,1,3,2,20705,89,11,215,52,47,34,13,1,1850,1400,1750,2000,2300,3150,2050,0,3050,2100,3100,3150,3900,4350,3200,960,49,9,55,-4,19,77,4,19540,0.9,477,1995,1735,0.8,6.3,3.3,2.1,0.9,1,4.6,1.3,4.9,1.3,4.9,0.7,8.6,0.9,30.8,2.3,2.3,2,2.5,4284,4093,191
