"GM_CODE","GM_NAAM","POSTCODE","DEK_PERC","OAD","STED","AANT_INW","AANT_MAN","AANT_VROUW","P_00_14_JR","P_15_24_JR","P_25_44_JR","P_45_64_JR","P_65_EO_JR","P_ONGEHUWD","P_GEHUWD","P_GESCHEID","P_VERWEDUW","BEV_DICHTH","AANTAL_HH","P_EENP_HH","P_HH_Z_K","P_HH_M_K","GEM_HH_GR","P_WEST_AL","P_N_W_AL","P_MAROKKO","P_ANT_ARU","P_SURINAM","P_TURKIJE","P_OVER_NW","WONINGEN","P_WONT2000","P_WONV2000","WOZ","P_KOOPWON","P_HUURWON","P_HUURCORP","P_HUUROVVH","P_HUKO_ONB","P_GAS_TOT","P_GAS_APP","P_GAS_TUS","P_GAS_HOEK","P_GAS_21K","P_GAS_VRY","P_GAS_ONB","P_STADVERW","P_ELEK_TOT","P_ELEK_APP","P_ELEK_TUS","P_ELEK_HOE","P_ELEK_21K","P_ELEK_VRY","P_ELEK_ONB","WWB_UITTOT","P_WWB_UIT","WWB_UITMUT","AGRA_BEDR","AGRA_MUT","P_GEWASSEN","P_VEETEELT","P_COMBI","AUTO_TOT","AUTO_HH","AUTO_LAND","BEDR_AUTO","MOTOR_2W","AF_ARTSPR","AV3_ARTSPR","AF_ZIEK_E","AV20ZIEK_E","AF_OPRITH","AF_KDV","AV3_KDV","AF_ONDVMB","AV5_ONDVMB","AF_ONDHV","AV5_ONDHV","AF_SUPERM","AV3_SUPERM","AF_RESTAU","AV3_RESTAU","AF_ZWEMB","AF_BIOS","AV10BIOS","AF_TREINST","OPP_TOT","OPP_LAND","OPP_WATER"
"GM0345","Veenendaal",-99999999,-99999999,1945,2,62055,30490,31565,21,13,27,26,14,43,46,5,5,3166,25040,29,31,40,2.4,6,10,5,1,0,1,3,24605,90,10,244,57,43,35,7,0,1850,1400,1700,2100,2550,3500,2750,0,3500,2550,3700,4000,4200,5100,4250,960,45,9,25,4,25,62,12,27470,1.1,1402,3440,1995,0.9,11.7,8.8,1.1,1.6,0.9,6.6,1.4,4,1.6,3,0.7,10.7,0.8,26.2,1.9,1.8,2,1.4,1981,1960,21
"GM0351","Woudenberg",-99999999,-99999999,805,4,11905,5970,5935,21,12,25,26,15,43,48,4,5,327,4555,26,33,41,2.6,4,4,0,0,0,0,3,4585,84,16,312,69,31,23,8,0,2250,1100,1850,2200,2600,3400,-99999997,0,3750,2250,3400,3650,4250,5050,3050,40,12,-99999997,105,0,7,79,14,5540,1.2,152,1115,600,0.9,2,9.8,5.7,0.6,0.9,1.9,6.1,0,8.7,0,0.9,3.4,0.8,4.4,5.6,9.8,0.7,5.1,3672,3645,27
"GM0352","Wijk bij Duurstede",-99999999,-99999999,1063,3,23155,11460,11700,19,12,24,32,12,44,46,6,4,486,9255,25,32,43,2.5,6,4,1,0,1,0,2,9185,93,7,300,67,33,27,7,0,2000,1450,1750,2050,2600,3400,2500,0,3850,2650,3750,3900,4300,5100,4100,160,18,2,125,-2,33,54,13,10885,1.2,229,1295,995,0.6,4.3,14.3,4.7,1.7,1,4,1.8,1.1,1.9,1,0.7,4.5,0.7,11.5,8,14,0,10.5,5030,4761,269
"GM0353","IJsselstein",-99999999,-99999999,1715,2,34225,16700,17525,21,11,30,26,11,48,42,7,4,1622,13970,29,29,42,2.4,7,12,4,1,3,1,3,13850,83,17,264,62,38,26,12,0,1650,1200,1550,1950,2400,3200,2450,0,3700,2650,3750,4050,5050,5250,3250,280,23,1,45,5,13,87,0,14030,1,665,1465,1205,0.7,5.9,4.2,7,1.6,0.6,6.4,1.8,2.8,1.8,2.4,0.7,5.1,0.6,16,2,4.1,1,11.1,2162,2111,51
"GM0355","Zeist",-99999999,-99999999,1497,3,60285,29030,31260,18,12,24,28,18,47,40,7,6,1243,27435,41,28,31,2.1,10,12,6,1,2,1,3,26265,93,7,350,49,50,36,15,0,2200,1400,1950,2350,3200,4650,2450,0,3350,2400,3350,3650,4450,5400,3550,780,34,10,20,-10,26,74,0,33560,1.2,692,3325,1890,0.9,9.4,3,11.9,1.9,0.7,13.4,1.9,4.6,1.7,4.6,0.8,8.7,0.7,36.2,2.8,2.7,5.1,3.9,4864,4850,14
"GM0356","Nieuwegein",-99999999,-99999999,1763,2,60895,30205,30695,17,12,28,31,13,45,43,8,4,2573,27035,33,30,36,2.2,10,13,3,1,4,1,4,26155,97,3,234,57,43,32,10,0,900,450,900,1300,2150,2250,-99999997,52,3500,2500,3800,3950,4450,5100,-99999997,770,33,3,15,6,35,59,6,27170,1,1148,2870,2130,0.7,7.2,2.4,7.9,1.8,0.7,7.8,1.4,5.7,2.3,4,0.7,7.8,0.7,20.3,2.5,2.3,7.1,7.5,2568,2367,201
"GM0358","Aalsmeer",-99999999,-99999999,805,4,29185,14480,14705,20,10,28,27,15,46,44,6,5,1425,11950,28,31,41,2.4,9,6,1,0,1,0,3,11740,73,27,313,61,38,25,12,1,2050,1150,1750,2050,2650,3300,2150,0,3700,2250,3650,3750,4300,4650,3800,140,13,9,105,-8,87,13,0,14335,1.2,700,2110,1270,0.8,3.9,9.6,10.1,1.1,0.8,5,2.5,2.3,6.2,0.4,0.8,3.4,0.6,11.6,2.8,8.9,0.8,8.2,3224,2049,1175
"GM0361","Alkmaar",-99999999,-99999999,2240,2,93860,46225,47635,16,12,29,28,14,49,37,9,5,3206,44175,40,28,32,2.1,10,12,2,1,2,3,5,43065,91,9,209,57,43,34,9,0,1700,1250,1700,2050,2300,3000,2050,0,2950,2150,3200,3400,3900,4450,3300,1450,38,10,15,7,53,47,0,40695,0.9,1390,5425,3440,0.7,11.6,3.1,1.3,1.1,0.6,8.7,1.2,8.7,1.3,4.8,0.7,12.6,0.8,49.2,2.3,2.6,3,2.1,3122,2928,195
"GM0362","Amstelveen",-99999999,-99999999,2036,2,80695,38435,42260,17,12,26,27,19,47,39,7,6,1946,39120,44,25,31,2,18,16,1,1,3,1,10,37170,94,6,307,49,51,29,21,1,1850,1350,1950,2400,3200,4150,1850,0,3100,2250,3600,3850,4850,5150,2700,750,22,12,90,2,47,52,1,33600,0.9,810,2435,1950,0.6,15.8,2.7,10,1.4,0.7,17,1.7,6.3,1.7,6.8,0.7,11,0.6,41.4,2.5,4,6.3,6.2,4405,4146,259
"GM0363","Amsterdam",-99999999,-99999999,6047,1,767455,378195,389265,16,13,36,25,11,61,26,10,4,4625,422075,55,20,25,1.8,15,35,9,2,9,5,10,394195,89,11,262,23,75,48,26,2,1300,1250,1450,1800,2300,3350,1350,5,2350,2200,2800,3250,3750,4550,2400,32200,89,6,95,2,19,77,4,218595,0.5,1317,25095,15945,0.5,36.8,2.3,11.2,2,0.4,58.1,1.1,14.3,1.4,10.9,0.5,27.8,0.4,385.1,1.9,2.9,10.7,2.5,21944,16592,5352
"GM0364","Andijk",-99999999,-99999999,311,5,6505,3370,3135,19,11,24,33,14,42,47,6,5,308,2650,27,34,39,2.4,6,3,0,0,1,0,2,2595,91,9,238,71,29,25,4,0,2200,1700,1650,1850,2200,2700,3850,0,3750,2250,3200,3200,4100,4350,5650,50,18,-99999997,100,-3,87,12,1,3290,1.2,156,685,390,1.2,2,18.7,0.9,4.9,2.5,1,6,0.1,7.1,0,1.4,1.9,1,2.4,3.7,19.1,0,6.6,4769,2115,2655
"GM0365","Graft-De Rijp",-99999999,-99999999,416,5,6490,3255,3235,19,11,23,31,17,43,46,6,5,324,2650,27,35,39,2.4,5,2,0,0,0,0,1,2605,91,9,301,72,28,17,11,0,2250,1150,1850,2150,2600,2900,2950,0,3750,2550,3500,3550,3850,4250,6500,20,10,-99999997,55,2,21,79,0,3085,1.2,154,480,390,1.5,1.5,12.6,3.3,1,1.9,0.8,10.6,0,11.1,0,1.6,0.8,0.8,5.6,9.7,12.4,0,11.2,2175,2002,173
"GM0366","Anna Paulowna",-99999999,-99999999,463,5,14235,7220,7010,19,12,25,30,13,43,48,5,4,191,5760,26,34,40,2.5,5,3,0,1,0,0,2,5800,88,12,230,64,36,28,8,0,2100,1100,1700,1900,2200,2850,2250,0,3750,2500,3300,3400,4100,4600,3400,120,21,17,160,-4,84,13,3,6615,1.1,89,1175,890,1.7,1.8,15.8,0.9,2,1.3,0.9,11.4,0,12.1,0,1.3,2.6,2,3,4.6,11.9,0.2,3.5,7881,7460,421
"GM0370","Beemster",-99999999,-99999999,542,4,8585,4295,4290,18,11,22,31,17,44,45,5,5,122,3495,28,34,38,2.4,6,3,0,0,0,0,2,3415,94,6,333,73,27,21,6,0,2450,1650,1750,2100,2600,3250,1700,0,3750,1700,3250,3500,4050,4500,3400,30,11,-99999997,180,-2,25,70,4,4170,1.2,59,1180,535,1.4,3.5,6.9,4.4,1.4,1.6,2.8,5.6,1.2,5.8,0.6,1.6,2.7,1.1,14.6,7.3,6.6,0.9,6.5,7208,7059,149
"GM0373","Bergen (NH.)",-99999999,-99999999,665,4,30985,15020,15965,15,10,19,33,23,40,45,8,7,319,13780,34,34,32,2.2,9,3,0,0,0,0,2,14055,95,5,397,67,32,20,12,1,2400,1350,2000,2150,2750,3600,3200,0,3450,2050,3250,3400,3850,4300,4850,190,15,1,120,-5,25,72,2,14960,1.1,154,1815,1480,1,1.7,8.3,1.4,1.5,1.8,1.4,4.2,2.2,4.3,2,0.9,2.5,0.6,15.5,2.7,8,1.6,6.5,11983,9712,2271
"GM0375","Beverwijk",-99999999,-99999999,2509,1,38885,19210,19675,17,12,28,27,16,46,40,8,6,2093,17850,38,29,34,2.2,10,12,1,0,1,5,5,16915,90,10,205,51,48,41,7,1,1750,1300,1650,2100,2500,3150,2050,0,3000,2150,3350,3650,3900,4500,-99999997,590,36,9,20,-9,76,19,5,16555,0.9,891,2870,1540,0.6,16.6,2.1,6,2.4,0.9,8.5,2.1,3.5,1.6,1.8,0.6,12.9,0.4,41.4,1.8,2,2,1.7,2038,1858,181
"GM0376","Blaricum",-99999999,-99999999,840,4,8955,4325,4630,17,9,18,36,21,37,49,8,6,805,3935,30,36,34,2.2,11,5,1,0,1,0,3,4010,95,5,633,63,37,23,15,0,3150,1700,2200,2450,3050,5100,3050,0,4000,2950,3400,3550,3800,5400,4250,60,15,-99999997,20,0,17,83,0,5060,1.3,455,365,315,0.7,6.1,4.3,5,1.3,0.8,8,1.9,3.2,2.4,2.6,0.7,5.7,0.6,17.4,2.6,3.3,4.2,7.6,1558,1112,445
"GM0377","Bloemendaal",-99999999,-99999999,990,4,22025,10405,11615,19,9,17,32,23,41,46,7,7,555,9205,32,33,35,2.3,13,4,0,0,0,0,3,9115,95,5,666,67,31,18,13,1,2900,1600,2300,2800,3550,5150,2600,0,3750,2200,3450,3900,4550,5300,3300,130,15,13,10,-99999997,-99999997,-99999997,-99999997,11215,1.2,283,595,640,0.8,9.5,4.6,6.2,1.2,0.7,13,1.9,7.8,2.5,4.9,0.7,8.2,0.7,46.1,3.8,4.8,3.3,1.8,4508,3968,540
"GM0381","Bussum",-99999999,-99999999,2244,2,32110,15220,16890,19,10,25,27,19,47,39,8,7,3992,14670,41,27,32,2.1,12,7,2,0,1,1,3,14745,95,5,399,61,39,25,14,0,2350,1400,2100,2700,3600,5150,2600,0,3250,2200,3150,3750,4500,5200,3250,320,24,4,5,-99999997,-99999997,-99999997,-99999997,14265,1,1773,1090,980,0.6,12.7,3.3,5.2,1.4,0.5,13.6,1.2,4.8,1.3,3.7,0.5,11,0.7,49.1,1.7,1.5,5,1.4,811,804,6
"GM0383","Castricum",-99999999,-99999999,1162,3,34650,16935,17720,18,12,21,30,19,43,46,6,6,698,14620,31,33,36,2.3,7,3,0,0,0,0,2,14505,92,8,307,73,27,17,10,1,2150,1250,1950,2250,2550,3100,2900,0,3450,1950,3400,3550,3900,4400,-99999997,140,11,8,75,-8,38,58,4,14995,1,302,1865,1665,0.7,3.9,8.9,4,1.4,0.8,2.9,2.2,2.5,2.5,1.6,0.8,3.9,0.7,12.2,2.6,2.7,2.2,2.5,5992,4966,1026
"GM0384","Diemen",-99999999,-99999999,2213,2,24685,11945,12740,16,15,26,29,14,52,35,8,5,2061,11975,43,25,32,2,13,25,3,2,8,3,10,10425,95,5,244,45,54,36,18,1,1650,1400,1750,2150,2250,3500,2500,0,3250,2600,3700,4050,4500,4850,-99999997,360,37,15,5,-99999997,-99999997,-99999997,-99999997,9475,0.8,791,1325,680,0.6,11.2,4.9,9,1.1,0.5,18.8,3.1,7.6,3.7,2.3,0.6,7,0.9,26,1.4,4.5,11.6,0.9,1403,1198,206
"GM0385","Edam-Volendam",-99999999,-99999999,1452,3,28505,14300,14205,20,11,27,28,14,43,48,5,5,1750,11230,26,30,44,2.5,4,4,1,0,0,0,2,11440,91,9,308,75,25,17,7,0,2250,1150,2200,2550,2550,3050,2600,0,3750,2300,3800,4050,3650,4300,3750,150,14,6,20,0,10,90,0,9960,0.9,612,2645,585,0.9,4.8,9.7,2.4,1.4,1.2,2.9,1.4,2,1.8,1,0.7,4.8,0.8,25.5,1.9,10,0.4,9,2478,1629,849
"GM0388","Enkhuizen",-99999999,-99999999,1316,3,18155,9080,9075,17,12,27,29,15,44,42,8,5,1464,8090,34,31,34,2.2,7,7,1,0,1,2,3,8135,87,13,207,57,42,33,9,1,1800,1150,1700,1900,2050,2600,2300,0,3150,2150,3100,3300,3750,4400,-99999997,200,27,16,25,10,52,48,0,7060,0.9,569,1050,720,0.7,5,18.9,1,1.1,0.7,3.8,1.6,1.9,1.6,1.1,0.6,5.7,0.7,21.9,1.6,18.9,0,1.9,11604,1240,10365
"GM0392","Haarlem",-99999999,-99999999,3244,1,149580,72745,76835,17,11,30,27,15,51,35,9,5,5116,73175,45,26,29,2,11,14,3,1,1,4,4,70675,89,11,256,50,48,34,14,2,1750,1450,1900,2250,2600,3300,1050,0,2750,2250,3050,3250,3600,4100,2350,2330,36,3,20,-10,42,53,5,60360,0.8,2064,6265,4730,0.6,16.9,2.3,8.9,1.2,0.4,27.7,1,11.6,1.2,7.7,0.5,18.3,0.5,109.2,1.9,2.4,3.4,2,3209,2924,285
"GM0393","Haarlemmerliede en Spaarnwoude",-99999999,-99999999,586,4,5400,2665,2730,18,13,21,32,15,45,45,6,4,281,2240,28,31,41,2.4,7,5,0,0,1,0,3,2195,93,7,300,65,34,24,10,0,2050,1200,1850,2250,2700,3200,2650,0,3700,2400,3750,3900,4300,4850,3450,40,17,-99999997,20,6,16,84,0,2570,1.1,134,490,350,0.9,1.8,5.4,12.4,2.2,0.8,2.5,4.8,1.5,5,0.7,1.1,1.9,0.7,5.7,4.9,7.1,4.2,5.3,2108,1923,186
"GM0394","Haarlemmermeer",-99999999,-99999999,1446,3,142790,71000,71790,20,11,29,28,12,47,43,7,4,799,58415,28,29,43,2.4,10,12,2,1,3,1,5,57060,75,25,284,65,35,24,11,0,1750,1200,1600,1950,2500,3100,2000,0,3650,2250,3750,3900,4450,5100,2800,1240,23,14,310,-1,81,14,4,106865,1.8,598,19840,6290,0.9,8.9,5.3,9,1.5,0.8,10.3,2.1,3.3,2.3,2.4,1,7.1,0.9,16.1,2.5,5.4,2.3,4.2,18528,17867,661
"GM0395","Harenkarspel",-99999999,-99999999,357,5,16085,8250,7835,20,11,25,30,13,47,44,5,4,298,6450,28,32,40,2.5,5,2,0,0,0,0,1,6155,86,14,279,72,27,19,8,1,2150,1000,1700,1950,2150,2750,2400,0,3750,2000,3250,3400,3950,4400,-99999997,80,13,1,205,-1,63,28,10,7545,1.2,140,1745,1125,1,1.5,14.7,1,2.1,2,0.8,7,0.3,7.1,0.1,1.5,2,0.9,5.5,5.9,8.5,0.9,8.3,5483,5394,89
"GM0396","Heemskerk",-99999999,-99999999,2096,2,38850,19040,19805,17,12,24,29,18,43,44,7,6,1420,16750,32,32,36,2.3,9,8,1,0,1,3,4,16845,83,17,244,53,47,35,12,0,1800,1350,1700,2050,2350,3000,3000,0,3200,2150,3400,3600,4100,4700,4950,530,34,9,75,-15,88,12,0,16630,1,608,1710,1585,0.7,13,4.4,5.7,2.9,1,6.4,1.8,2.1,2.6,1.1,0.8,11.9,0.7,26.3,1.8,4.1,2,2.9,3173,2735,438
"GM0397","Heemstede",-99999999,-99999999,1498,3,26060,12210,13845,18,9,19,30,23,42,43,7,7,2831,11275,35,30,35,2.2,12,5,0,0,1,0,3,11445,93,7,447,62,37,22,16,0,2350,1500,2100,2700,3600,4900,2550,0,3350,2300,3350,3700,4450,5200,3700,170,17,14,10,-27,-99999997,-99999997,-99999997,12360,1.1,1343,805,725,0.7,15.2,2,6.8,1.4,0.7,17.7,1.7,8.5,1.4,6.6,0.6,11.7,0.6,45,2,3.9,3.9,2.4,964,920,44
"GM0398","Heerhugowaard",-99999999,-99999999,1532,2,51180,25795,25380,20,12,30,27,12,47,43,6,4,1334,20625,27,31,41,2.4,8,10,1,1,2,2,4,20685,79,21,227,68,32,23,9,0,1600,900,1500,1800,1900,2650,2650,10,3500,2100,3500,3700,4250,4800,-99999997,380,21,2,130,-7,61,33,6,22785,1.1,594,2910,2300,0.9,8.9,9.3,2,1.8,1,8.2,1.8,3.7,1.8,2.3,0.7,8.6,1,12.9,2.5,2.1,2.7,2.6,3997,3836,161
"GM0399","Heiloo",-99999999,-99999999,1099,3,22450,11110,11345,18,10,21,30,21,41,47,6,6,1201,9555,30,35,35,2.3,8,4,0,0,0,0,2,9525,92,8,348,73,27,19,8,0,2200,1250,1800,2200,2600,3250,-99999997,0,3450,2250,3300,3450,3850,4150,-99999997,140,15,25,40,-5,44,56,0,9860,1,527,980,875,1,7.4,4.5,2,3,0.8,6,5,1,4.8,1,0.7,5.4,0.8,14.3,1.6,5.4,3,1.5,1899,1870,29
"GM0400","Den Helder",-99999999,-99999999,1676,2,57405,28510,28895,16,12,26,30,16,43,42,9,6,1268,26690,37,30,32,2.1,10,9,0,2,1,0,4,26930,96,4,163,51,46,40,6,3,1750,1300,1750,2000,2250,2750,2150,0,2950,2000,3050,3150,3850,4500,3050,1280,51,2,50,-4,94,6,0,23385,0.9,517,2530,2380,0.8,6.1,4.1,1,1.8,1,6.6,2.9,1.5,3.6,0.7,0.8,7.4,0.8,17.7,2.2,3.8,2,2.8,17883,4526,13357
"GM0402","Hilversum",-99999999,-99999999,2347,2,84575,41115,43460,17,11,28,27,18,48,38,8,6,1850,39990,42,28,31,2.1,12,11,3,1,1,3,4,38830,93,7,293,51,49,34,14,1,2150,1400,2000,2500,3300,4950,2900,0,3050,2150,3150,3400,4300,5100,3650,1370,38,14,15,-6,6,94,0,41480,1,907,6865,2820,0.6,18.3,3.3,10.3,1.6,0.6,15.9,1,7.1,1.6,4.7,0.7,12.5,0.6,83.1,2.2,1.7,4.4,1.6,4645,4572,73
"GM0405","Hoorn",-99999999,-99999999,1576,2,70250,34585,35670,18,12,28,28,13,48,39,8,5,3473,31070,34,29,37,2.2,8,13,2,1,3,2,5,30985,87,13,208,57,42,33,9,0,1700,1200,1600,1950,2150,2800,-99999997,0,3250,2200,3300,3500,4100,4700,-99999997,990,37,5,25,-11,75,25,0,28130,0.9,1391,3890,2675,0.8,6.4,2.9,1.1,1.9,1,9.2,1.8,6.5,2,3.9,0.8,7.8,0.9,30.6,2.8,2.9,1,1.8,5326,2023,3303
"GM0406","Huizen",-99999999,-99999999,1862,2,41935,20335,21595,18,12,23,32,16,43,44,8,5,2659,18035,33,29,38,2.3,10,9,3,0,1,2,3,18200,91,9,321,54,46,36,10,0,2000,1150,1800,2200,2950,4450,2700,0,3450,2350,3450,3700,4200,5250,4200,480,31,13,10,-20,-99999997,-99999997,-99999997,20165,1.1,1279,2035,1550,0.8,6.5,5.5,4.7,2.4,0.8,9.1,1.1,2.5,1.1,2.1,0.7,8.5,0.7,18,1.7,1.8,2.9,7.5,2328,1577,751
"GM0412","Niedorp",-99999999,-99999999,257,5,12135,6160,5975,20,11,25,31,13,45,46,5,4,197,4820,24,34,41,2.5,5,2,0,0,0,0,1,4750,90,10,270,73,27,19,8,0,2250,1100,1700,1900,2050,2800,-99999997,0,3850,2000,3150,3350,3700,4550,-99999997,70,15,23,160,-1,33,58,9,6045,1.3,98,1590,970,2,0.9,20,0.9,1.4,2.6,0.8,8.2,0.2,9,0,2.6,1,1.4,3.6,7.7,8.4,0.8,8.6,6299,6158,141
"GM0415","Landsmeer",-99999999,-99999999,876,4,10235,4915,5320,17,12,21,33,18,42,46,6,6,454,4320,27,32,40,2.3,8,5,0,0,1,0,3,4330,93,7,325,65,35,27,8,0,2150,1050,1850,2250,2900,3400,1850,0,3700,2450,3600,3600,4500,4650,2450,60,15,8,35,-3,3,97,0,4690,1.1,208,590,510,0.8,6.1,3.8,9.7,1.8,0.8,5.2,3.8,2.8,5.5,0.2,1,2.7,0.9,10.2,4.8,7,10.4,8,2649,2255,394
"GM0416","Langedijk",-99999999,-99999999,846,4,26955,13435,13520,20,12,25,30,13,45,45,6,4,1121,10685,25,33,42,2.5,6,4,1,0,0,0,2,10495,82,18,290,75,24,18,6,0,1850,800,1500,1800,2000,2550,-99999997,9,3750,2300,3400,3500,3950,4500,-99999997,160,15,8,40,11,56,39,5,12430,1.2,517,1975,1530,0.9,5.4,9.6,1,1.4,1,4.1,2.3,3.5,2.3,2.1,0.8,5.3,0.8,8.8,2.4,4.9,2.3,3.9,2699,2406,294
"GM0417","Laren",-99999999,-99999999,998,4,11325,5370,5955,16,8,19,30,26,39,44,8,9,923,5165,39,32,29,2.1,13,8,0,0,0,0,6,4920,98,2,630,63,36,17,18,1,3100,1450,2150,2650,3350,5000,3500,0,3850,2200,3050,3300,4200,5200,-99999997,50,11,-99999997,5,-99999997,-99999997,-99999997,-99999997,6140,1.2,501,450,345,0.8,6.6,2.3,5.6,1,0.6,6.6,1.1,3.5,2,1.4,0.9,4.6,0.7,23.8,1.3,5,5,5.1,1239,1226,12
"GM0420","Medemblik",-99999999,-99999999,531,4,27385,13860,13525,19,11,25,30,14,44,45,6,5,354,11170,27,34,39,2.4,6,4,0,0,0,1,1,11190,86,14,263,68,32,25,7,0,2150,1100,1800,2050,2200,2900,1850,0,3600,2100,3300,3450,3850,4450,3050,160,15,5,255,-4,44,50,6,12685,1.1,164,2795,1595,1,1.5,12.1,1,1.9,1.5,1.4,4.6,0.6,4.8,0.4,1.1,1.4,1,6.1,8,12.8,0.4,9.9,17900,7732,10168
"GM0424","Muiden",-99999999,-99999999,399,5,6500,3170,3330,19,9,21,33,18,43,44,7,5,450,2780,30,32,38,2.3,11,5,1,0,1,0,3,2765,99,1,374,59,41,30,11,0,2250,1400,2000,2300,2850,3800,2200,0,3600,2550,3450,3700,4150,4450,2400,50,20,-9,20,-5,5,95,0,3155,1.1,218,295,275,0.6,1,11.2,9.1,1,2.1,1,5.3,0.5,5.7,0.5,2.1,0.5,0.5,5.3,7,8.2,1,5.3,3651,1446,2205
"GM0425","Naarden",-99999999,-99999999,1078,3,17150,8190,8965,21,8,22,29,20,43,44,7,6,802,7275,34,29,37,2.3,12,6,2,0,1,0,3,7475,97,3,445,69,31,22,9,1,2500,1300,2150,2850,3400,4700,-99999997,0,3550,2050,3400,4000,4750,5400,-99999997,110,17,14,15,-12,7,93,0,9085,1.2,425,785,470,0.8,9.9,5.1,6.2,1.4,0.8,12.5,1.2,3.8,2,3,0.6,9.5,0.7,46.8,1.8,1.9,4.9,2,3289,2139,1149
"GM0431","Oostzaan",-99999999,-99999999,957,4,9150,4450,4695,19,11,25,30,16,43,46,6,5,793,3765,25,34,41,2.4,6,5,0,0,1,1,2,3775,92,8,306,64,36,28,8,0,2000,1200,1700,2100,2350,2950,2300,0,3650,2100,3550,3800,3950,4500,5250,40,11,-99999997,25,-4,0,100,0,4130,1.1,358,595,550,0.9,3.5,5.1,10.7,1.3,1,2.8,3.3,2.6,4.7,0.7,0.8,5.1,0.6,8.5,3.9,4.6,5.9,5.4,1613,1153,460
"GM0432","Opmeer",-99999999,-99999999,466,5,11385,5750,5635,20,12,24,29,15,46,45,4,5,274,4485,26,33,41,2.5,4,2,0,0,0,0,1,4470,88,12,264,74,25,20,5,0,2150,1400,1650,1950,2300,2850,2100,0,3700,2050,3200,3500,3850,4550,3950,50,10,-99999997,125,0,32,65,3,5420,1.2,130,1155,780,1.2,2.4,12.7,1.8,1.2,1.4,1.7,9.9,0,10.1,0,1.1,2.4,1,2.6,10.1,11.3,0.1,5.5,4198,4160,38
"GM0437","Ouder-Amstel",-99999999,-99999999,1286,3,13100,6375,6725,19,11,23,31,17,47,41,6,6,542,5690,35,28,37,2.3,11,10,1,1,3,0,5,5725,95,5,348,53,47,32,15,1,1850,1200,1950,2250,2700,3550,2050,0,3400,2300,3700,4000,4400,5900,3150,90,18,6,50,-4,2,98,0,5665,1,235,890,450,0.9,5.1,4.2,8.2,1.3,0.9,8.5,3.1,4.4,4.5,1.6,0.8,4.6,0.6,18.5,3.9,4,8.7,3.2,2581,2416,165
"GM0439","Purmerend",-99999999,-99999999,2162,2,79040,38665,40375,17,12,27,29,15,45,42,8,5,3371,34115,32,29,40,2.3,9,15,1,1,5,1,6,33770,85,15,217,58,42,37,5,0,550,300,500,700,650,1400,200,70,3400,2200,3650,3800,4300,5000,2600,940,33,6,10,-99999997,-99999997,-99999997,-99999997,38450,1.1,1640,4950,3020,0.8,9.6,2,5.3,1.7,0.9,8.6,2.5,3.7,2.6,2,0.9,9.7,1,32.2,2.6,2.3,1,1.9,2456,2344,112
"GM0441","Schagen",-99999999,-99999999,1180,3,18735,9120,9615,17,10,25,29,19,43,44,7,6,995,8255,32,34,34,2.2,7,5,0,0,1,0,3,8275,84,16,230,59,40,30,11,1,1900,1100,1800,2050,2250,3050,1750,0,3250,2200,3250,3250,4150,4450,-99999997,240,31,19,25,4,4,96,0,8310,1,441,1110,770,0.8,5,20.6,0.2,0.8,0.8,4.3,1.1,3,1.5,1,0.8,6.9,1,18,2,1.7,1,1.4,1935,1883,52
"GM0448","Texel",-99999999,-99999999,390,5,13780,6830,6945,17,10,23,33,17,42,46,7,6,86,6060,33,34,33,2.2,7,3,0,0,0,0,2,6065,89,11,279,67,31,21,10,1,2100,1250,1700,1950,2300,2750,1950,0,3400,2300,3050,3500,3600,3850,3250,110,18,8,210,-4,39,49,12,6205,1,39,1755,755,2.7,1.6,16.6,0.8,3.4,2.7,1.4,4,0.7,4,0.7,0.9,2.3,0.8,12.5,6.5,3.8,1,16,46328,16113,30216
"GM0450","Uitgeest",-99999999,-99999999,978,4,12665,6365,6300,20,11,27,28,13,46,44,5,4,660,5115,27,32,41,2.5,7,4,0,0,1,0,3,5090,86,14,269,68,32,24,8,0,1900,1050,1750,2000,2400,2900,2200,0,3450,2050,3450,3450,4000,4400,3250,60,12,8,40,-7,16,84,0,5445,1.1,284,800,620,0.6,4.7,7.6,4.2,1.1,0.8,3.3,3.6,2.7,4,1.7,0.6,3.2,1.1,7.6,4.3,5.1,2,1.4,2231,1919,312
"GM0451","Uithoorn",-99999999,-99999999,1367,3,28055,13820,14230,19,11,26,28,16,45,43,7,5,1534,12130,32,30,38,2.3,10,9,2,0,1,0,4,12045,89,11,257,56,44,34,10,0,1850,1450,1750,2100,2750,3150,1700,0,3400,2250,3650,3650,4550,4950,3150,170,16,3,110,-3,87,12,1,13620,1.1,745,1860,1270,0.9,9,8.8,8.9,0.9,0.7,9.9,1.7,1.8,2.2,1.3,1,4.7,0.9,16.3,1.8,11.2,0.1,11.6,1949,1829,120
